
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp2
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 135 | valid ndcg@100: 0.4681 | best valid: 0.4700 | train ndcg@100: 0.7554
epoch 136 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7559
epoch 137 | valid ndcg@100: 0.4686 | best valid: 0.4700 | train ndcg@100: 0.7559
epoch 138 | valid ndcg@100: 0.4690 | best valid: 0.4700 | train ndcg@100: 0.7566
epoch 139 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7570
epoch 140 | valid ndcg@100: 0.4681 | best valid: 0.4700 | train ndcg@100: 0.7573
epoch 141 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7574
epoch 142 | valid ndcg@100: 0.4681 | best valid: 0.4700 | train ndcg@100: 0.7585
epoch 143 | valid ndcg@100: 0.4694 | best valid: 0.4700 | train ndcg@100: 0.7591
epoch 144 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7603
epoch 145 | valid ndcg@100: 0.4681 | best valid: 0.4700 | train ndcg@100: 0.7602
epoch 146 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7610
epoch 147 | valid ndcg@100: 0.4674 | best valid: 0.4700 | train ndcg@100: 0.7614
epoch 148 | valid ndcg@100: 0.4685 | best valid: 0.4700 | train ndcg@100: 0.7625
epoch 149 | valid ndcg@100: 0.4682 | best valid: 0.4700 | train ndcg@100: 0.7629
epoch 150 | valid ndcg@100: 0.4674 | best valid: 0.4700 | train ndcg@100: 0.7631
epoch 151 | valid ndcg@100: 0.4675 | best valid: 0.4700 | train ndcg@100: 0.7636
epoch 152 | valid ndcg@100: 0.4680 | best valid: 0.4700 | train ndcg@100: 0.7637
epoch 153 | valid ndcg@100: 0.4678 | best valid: 0.4700 | train ndcg@100: 0.7651
